Plant Name,Family,Common Name,Uses,Image File
Ixora nigricans R.Br. ex Wight & Arn.,RUBIACEAE,Katkura (Mar.),Leaves are antidysenteric.,Ixora_nigricans_R.Br._ex_Wight_&_Arn..jpg
Jasminum angustifolium Vahl.,OLEACEAE,"Banmallica, Mwari",Leaf extract used as emetic in case of poisoning and root extract used in treatment of ringworm.,Jasminum_angustifolium_Vahl..jpg
Jasminum arborescens Roxb.,OLEACEAE,"Bela, Chameli",Leaves are used in the treatment of bronchitis and stomachic infections.,Jasminum_arborescens_Roxb..jpg
Jasminum azoricum L.,OLEACEAE,Malati (Beng.),Bark yields a bitter glucoside,Jasminum_azoricum_L..jpg
Jasminum grandiflorum L.,OLEACEAE,"Chameli, Jati","Plant has emmenagogue, anthelmintic, and diuretic properties. Leaf juice is used for treatment of corns and mouth ulcers.",Jasminum_grandiflorum_L..jpg
Jasminum multiflorum (Burm.f.) Andrews,OLEACEAE,"Chameli, Kunda",Dried leaves used in the treatment of ulcers.,Jasminum_multiflorum_Burm.f._Andrews.jpg
Jasminum officinale L.,OLEACEAE,"Chameli, Jati","Plant has emmenagogue, anthelmintic, and diuretic properties. Leaf juice is used for treatment of corns and mouth ulcers.",Jasminum_officinale_L..jpg
Jasminum ritchiei C.B.Clarke,OLEACEAE,Karumullai (Tam.),Leaves are used in tooth-ache relief and flowers used in treatment of piles.,Jasminum_ritchiei_C.B.Clarke.jpg
Jasminum rottlerianum Wall. ex A.DC.,OLEACEAE,Vanamalliga (Sans.),Leaves and flowers used in the treatment of eczema.,Jasminum_rottlerianum_Wall._ex_A.DC..jpg
Jasminum sambac (L.) Aiton,OLEACEAE,"Banmallika, Chamba",Leaf and root extract used in the preparation of eye lotions.,Jasminum_sambac_L._Aiton.jpg
Jasminum scandens Vahl,OLEACEAE,Hare lahara (Nepal),Root extract used in ringworm treatment.,Jasminum_scandens_Vahl.jpg
Jateorhiza palmata Miers,MENISPERMACEAE,Kalamb-ki-jar,"The drug known as-Calumba, Columba, or Columbo the source or obtained from the roots. It is a bitter tonic and stomachic. It is useful  in combination with other tonics, cathartics and aromatics, in atonic dyspepsia, gastric irritability, diarrhoea and dysentery, and vomiting attending on pregnancy. On sores powdered Calumba is applied.",Jateorhiza_palmata_Miers.jpg
Jatropha curcas L.,EUPHORBIACEAE,"Bagbherenda, Jangli-arandi","Curcas oil obtained from seeds, it is used as a powerful purgative, sciatica, dropsy, paralysis and as ointment for skin troubles and rheumatism. Curcas oil is also employed as an abortifacent and  Juice of the plant useful in scabies,
eczema, and ringworm. The leaves of the plants have rubefacient and lactagogue properties.",Jatropha_curcas_L..jpg
Jatropha glandulifera Roxb.,EUPHORBIACEAE,"Janglie-randi, Undarbibi","The seeds contians a fixed oil having purgative properties and applied in rheumatism and paralytic problems. The root grounded with water, is prescribed to children suffering from abdominal enlargement. also it induces purging and reduces glandular swellings.",Jatropha_glandulifera_Roxb..jpg
Jatropha gossypifolia Roxb.,EUPHORBIACEAE,"Bherenda, Verenda",For leprosy the roots of the plant is used. The decoction of leaves is having purgative and stomachic properties.  For ulcers latex is employed. The leaves are prescribed as febrifuge in intermittent fevers.For  swollen mammae is it also used. The bark decoction is utilized as emmenagogue.  The seeds are having purgative  and emetic properties. The bark constitute an alkaloid jatrophine which is similar to quinine.,Jatropha_gossypifolia_Roxb..jpg
Jatropha multifida L.,EUPHORBIACEAE,Bhadradanti (Sans.),"Decoction of roots given for indigestion and colic. Seeds contain a fixed oil used as an illuminant. Leaves purgative, also sed in scabies. Roasted seeds used forreating fevers and venereal diseases, but  they are dangerously cathartic, used in criminal poisoning.",Jatropha_multifida_L..jpg
Jatropha nana Dalzell & A.Gibson,EUPHORBIACEAE,Kirkundi (Mar.),The juice is employed for ophthalmia.,Jatropha_nana_Dalzell_&_A.Gibson.jpg
Juglans regia L.,JUGLANDACEAE,"Akhrot, Akrut (Trade)","Leaves are used as astringent, tonic and anthelmintic.",Juglans_regia_L..jpg
Juncellus inundatus (Roxb.) C.B.Clarke,CYPERACEAE,Pati,Tubers tonic and stimulant.,Juncellus_inundatus_Roxb._C.B.Clarke.jpg
Juncus effusus L.,JUNCACEAE,Matting Rush (Eng.),"Pith decoction is antilithic, pectoral, and discutient, diuretic and depurative.",Juncus_effusus_L..jpg
Juniperus communis L.,CUPRESSACEAE,"Aaraar, Haubera","The fruits and essential oil of the plant are considered as carminative, diuretic and stimulant which is used in dropsy, disorders of urino-genital tract and cutaneous diseases.",Juniperus_communis_L..jpg
Juniperus polycarpus C.Koch,CUPRESSACEAE,Dhup,"Fruits are carminative, diuretic and used in treating dropsy, disorders of urino-genital
 tract and cutaneous diseases.?",Juniperus_polycarpus_C.Koch.jpg
Juniperus recurva Buch.-Ham. ex D.Don,CUPRESSACEAE,Chukboo (Sikkim),Smoke from the green wood is said to be emetic.,Juniperus_recurva_Buch.-Ham._ex_D.Don.jpg
Jurinea dolomiaea Boiss.,ASTERACEAE,Dhoop Lakkad,"The bruised root is applied to eruptions and decoction is used in colic. It is applied in puerperal
fever.",Jurinea_dolomiaea_Boiss..jpg
Justicia adhatoda L.,ACANTHACEAE,Arusha,"Root and leaves are used to treat cough, chronic bronchitis, asthma and phthisis. Leaves are used 
to treat rheumatism,fresh wounds, urticaria, jaundice, dyspepsia, neuralgia. Ayurvedic medicine is
used for treating bronchitis, thombocytopenia, pyorrhea, bleeding disorder, bleeding piles, cough,
dysuria, skin diseases, cardiac debility,fever.",Justicia_adhatoda_L..jpg
Justicia betonica L.,ACANTHACEAE,Tellarantu (Tel.),Applied in boils and swellings and also used in diarrhoea.,Justicia_betonica_L..jpg
Justicia gendarussa Burm.f.,ACANTHACEAE,"Udisanbhalu, Nilinargandi","It is used as febrifuge, emetic, emmenagogue, diaphoretic.
 Infusion of leaves are used in cephalagia, hemiplegia and facial paralysis. Juice of leaves stops internal haemorrhage. Fresh leaves are used in oedema of beriberi and rheumatism.",Justicia_gendarussa_Burm.f..jpg
Justicia procumbens L.,ACANTHACEAE,Karambal (Mar.),"Has Laxative, diaphoretic, diuretic, expectorant, anthelmintic, and febrifugic properties. Also used in asthma, cough rheumatism,lumbago, and flatulence.",Justicia_procumbens_L..jpg
Kaempferia rotunda L.,ZINGIBERACEAE,Bhui-champa,"Decoction is applied to wounds with coagulated blood and with any purulent, and also taken for purifying blood and removing pus from the body.",Kaempferia_rotunda_L..jpg
Kalanchoe integra (Medik.) Kuntze,CRASSULACEAE,"Haiza, Rungru",Juice of leaves is  purgative and tonic. Leaves are burnt and applied to abscesses.,Kalanchoe_integra_Medik._Kuntze.jpg
Kalanchoe laciniata (L.) Pers.,CRASSULACEAE,Hamsagar,"Leaves are styptic, astringent and antiseptic.Leaf juice is used for diarrhoea, dysentery, lithiasis and phthisis.",Kalanchoe_laciniata_L._Pers..jpg
Kedrostis rostrata (Rottl.) Cogn.,CUCURBITACEAE,Kukumadunda (Tel.),Roots are used in treatment of asthma and piles.,Kedrostis_rostrata_Rottl._Cogn..jpg
Kendelia rheedii Wight & Arn.,RHIZOPHORACEAE,Goria (Beng.),The bark is mixed with dried ginger or long pepper and rosewater and is helpful in curing diabetes.,Kendelia_rheedii_Wight_&_Arn..jpg
Kickxia ramosissima (Wall.) Janch.,SCROPHULARIACEAE,Bhintgalodi (Guj.),Used in treating diabetes.,Kickxia_ramosissima_Wall._Janch..jpg
Kigelia pinnata (Jacq.) DC.,BIGNONIACEAE,Common Sausage Tree (Eng.),"Fruits are used for dressing syphilitic sores and act as purgative. Bark is used in 
treating rheumatism, dysentery and venereal diseases.",Kigelia_pinnata_Jacq._DC..jpg
Kingiodendron pinnatum (Roxb. ex DC.) Harms.,CAESALPINIACEAE,Madayan samprani (Tam.),"Oil, gum and resin used in catarrhal conditions of the
genitourinary and respiratory
tracts; also for treating sores.",Kingiodendron_pinnatum_Roxb._ex_DC._Harms..jpg
Kirganelia reticulata (Poir.) Baill.,EUPHORBIACEAE,"Panjuli, Makhi","The leaves of the plant is consider of having diuretic properties. The juice of the leaves with camphor and cubebs are given for bleeding gums. It is also utilized for diarrhoea in infants. For astringent, attenuant and diuretic the bark of the plant is used.",Kirganelia_reticulata_Poir._Baill..jpg
Kleinhovia hospita L.,STERCULIACEAE,Bola (Beng.),Decoction of leaves useful in skin eruptions and scabies. Leaf juice applied as eye-wash.,Kleinhovia_hospita_L..jpg
Knema angustifolia (Roxb.) Warb.,MYRISTICACEAE,Mota-pasuti (Assam),"The plant is employed as astringent, used in dysentery, and also in mouth sores it is being applied.",Knema_angustifolia_Roxb._Warb..jpg
Kochia indica Wight,CHENOPODIACEAE,Kaura-ro (Punjab),The plant is used as a cardiac stimulant.,Kochia_indica_Wight.jpg
Kochia scoparia (L.) Schrad.,CHENOPODIACEAE,Ti Fu (Chinese),Fruits and leaves are used as a cardio-tonic and diuretic.,Kochia_scoparia_L._Schrad..jpg
Kokoona zeylanica Thwaites,CELASTRACEAE,Kokum (Ceylon),Bark powdered  is used in headache.,Kokoona_zeylanica_Thwaites.jpg
Krameria triandra Ruiz & Pav.,POLYGALACEAE,Ratanya (Malay),"Used in treating diarrhoea, haemorrhages, mucous discharges in menstrual disorders
and urine incontinence.",Krameria_triandra_Ruiz_&_Pav..jpg
Kydia calycina Roxb.,MALVACEAE,"Pula, Choupultea",Santal people pound the leaves and apply it on body in pain.,Kydia_calycina_Roxb..jpg
Kyllinga brevifolia Rottb.,CYPERACEAE,Nirbisi,Leaves used in diarrhoea. Roots and rhizomes aromatic.,Kyllinga_brevifolia_Rottb..jpg
Kyllinga nemoralis (Forst.) Dandy ex Hutcins. & Dalziel,CYPERACEAE,White water sedge (Eng.),"Aromatic rhizomes used as a diuretic, refrigerant, demulcent and tonic; also given in fevers and diabetes to relieve thirst.",Kyllinga_nemoralis_Forst._Dandy_ex_Hutcins._&_Dalziel.jpg
Lablab purpureus (L.) Sweet,FABACEAE,"Bhatvas, Shimi","Seeds use as febrifuge, stomachic, antispasmodic, antifungal.",Lablab_purpureus_L._Sweet.jpg
Lactuca indica L.,ASTERACEAE,Salad,It is tonic and possess digestive and depurative properties.,Lactuca_indica_L..jpg
Lactuca remotiflora DC.,ASTERACEAE,Undirachakan (Mar.),"It is used treatment of chronic obstructions of liver and bowels.
It is used as diuretic in calculous infections.",Lactuca_remotiflora_DC..jpg
Lactuca runcinata DC.,ASTERACEAE,Undirachakan (Mar.),"It is diuretic, tonic, and slightly aperient.",Lactuca_runcinata_DC..jpg
Lactuca sativa L.,ASTERACEAE,"Kahu, Salad",It yields lactucarium which is used as hypnotic in treatment of bronchitis and asthma.,Lactuca_sativa_L..jpg
Lactuca scariola L.,ASTERACEAE,Kahu,It yields lactucarium which is used as hypnotic in treatment of bronchitis and asthma.,Lactuca_scariola_L..jpg
Lagenandra toxicaria Dalzell,ARACEAE,Maravara tsjembu (Tam.),"It's very poisonous, and used in remedy for itch.",Lagenandra_toxicaria_Dalzell.jpg
Lagenaria siceraria (Molina) Standl.,CUCURBITACEAE,"Kaddu, Lauki","Fruit pulp is used in cooling, diuretic, and antibilious. Seeds  are used in dropsy and as anthelmintic.
 Oil is used for headache.",Lagenaria_siceraria_Molina_Standl..jpg
Lagerstroemia indica L.,LYTHRACEAE,"Pharash, Telingachina","Bark is stimulant and febrifuge. Bark, leaves, and flowers are purgative and hydragogue. Roots  are
 astringent,  fruits are used as a local application for apththae of mouth.",Lagerstroemia_indica_L..jpg
Lagerstroemia speciosa (L.) Pers.,LYTHRACEAE,Jarul,"Leaves are purgative, diuretic, and deobstruent. Decoction of dried fruits as well as of leaves are  used in 
 treatment of diabetes.",Lagerstroemia_speciosa_L._Pers..jpg
Lallemantia royleana (Wall. ex Benth.) Benth.,LAMIACEAE,"Gharei, Kashmalu",Seeds used in relieving flatulence and constipation.,Lallemantia_royleana_Wall._ex_Benth._Benth..jpg
Laminaria saccharina Lam.,PHAEOPHYCEAE,Sea belt (Eng.),A syrup of saccharine obtained from the plant combined with decoction of quince seeds is given for goitre (Bronchocele) it is also given in scrofulous and syphilitic infections. A simple infusion made by steeping the seaweed in cold water overnight a simple infusion is obtained which is taken in the morning on an empty stomach to cure bronchocele.,Laminaria_saccharina_Lam..jpg
Lamium album L.,LAMIACEAE,White Deadnettle (Eng.),"The decoction of the plant is used in haemorrhages of uterus and nose. The plant is used as astringent. The roots are employed in  resolvent and vulnerary. The flowers are used as  mild astringent, hemostatic, hypnotic, depurative, and tonic. Leaves are rich in carotene and is edible.",Lamium_album_L..jpg
Lamium amplexicaule L.,LAMIACEAE,Henbit (Eng.),"The plant is having stimulant, laxative, diaphoretic, antirheumatic, and cephelic properties. It is considered of cause poisoning of the cattle.",Lamium_amplexicaule_L..jpg
Lamprachaenium microcephalum Benth.,ASTERACEAE,Brahma-dandi (Bombay),It has antiseptic properties.,Lamprachaenium_microcephalum_Benth..jpg
Lannea coromandelica (Houtt.) Merr.,ASTERACEAE,"Jhingan, Kaimil",Bark used in gout; decoction for aphthae of the mouth and for toothache. Gum given in asthma; as a cordial to women during lactation.,Lannea_coromandelica_Houtt._Merr..jpg
Lasia spinosa (L.) Thwaites,ARACEAE,Kanta kachu (Beng.),"Plant used in colic, rheumatism, and intestinal diseases.",Lasia_spinosa_L._Thwaites.jpg
Lathyrus aphaca L.,FABACEAE,Janglimatar,"Ripe seeds produce narcotic effect. Flowers resolvent.
Herb considered to be one of the possible causes for lathyrism.",Lathyrus_aphaca_L..jpg
Lathyrus odoratus L.,FABACEAE,Sweet Pea (Eng.),Seeds good source of vitamin A.,Lathyrus_odoratus_L..jpg
Lathyrus pratensis L.,FABACEAE,Meadow vetchling (Eng.),Seeds used as a resolvent.,Lathyrus_pratensis_L..jpg
Lathyrus sativus L.,FABACEAE,"Khesari, Latri","Seeds toxic. Prolonged consumption results in paralysis of legs, both in animals and human beings, known as lathyrism.",Lathyrus_sativus_L..jpg
Lathyrus sphaericus Retz.,FABACEAE,Red grass pea (Eng.),Seeds poisonous.,Lathyrus_sphaericus_Retz..jpg
Launaea asplenifolia (Willd.) Hook.f.,ASTERACEAE,Titlia,Roots are an important constituent of galactagogue drugs.,Launaea_asplenifolia_Willd._Hook.f..jpg
Launaea resedifolia (L.) Kuntze,ASTERACEAE,Divided-leaved Sow Thistle (eng.),Decoction is used in constipation. Plant is  considered galactagogue.,Launaea_resedifolia_L._Kuntze.jpg
Launaea sarmentosa (Willd.) Alston,ASTERACEAE,Sagar pathari (Mar.),"It is tonic, soporific, diuretic, and aperient.",Launaea_sarmentosa_Willd._Alston.jpg
Laurentia longiflora (L.) Endl.,CAMPANULACEAE,Madam Fate (Eng.),An unidentified alkaloid is obtained from this plant is used in respiratory diseases.,Laurentia_longiflora_L._Endl..jpg
Lavandula bipinnata (Roth) Kuntze,LAMIACEAE,"Sarpnocharo, Aasmanifalgoto (Guj.)",An essential oils is obtained from the leaves and flowers.,Lavandula_bipinnata_Roth_Kuntze.jpg
Lavandula stoechas L.,LAMIACEAE,Dharu,"Medicated pillows or cushions, herb sachets and fumigating powders is made from the flowers. It gives relief for the relaxation of rheumatic and neuralgic pain fomentation with flowers is used. An essential oil obtained from the flowers is employed for biliousness, chest infections, colic, and headache.",Lavandula_stoechas_L..jpg
Lavandula vera DC.,LAMIACEAE,True Lavender (Eng.),"The plant is used as carminative and mild stimulant, and it is also employed in flavouring  of pharmaceutical preparations.",Lavandula_vera_DC..jpg
Lawsonia inermis L.,LYTHRACEAE,Mehndi,Henna leaves act  as a prophylactic against skin troubles.,Lawsonia_inermis_L..jpg
Leea aequata L.,LEEACEAE,Kakajangha,"Whole plant used in dysent,
mucus in urine, neuralgia, night-fever, pleur, pneum, rheum.",Leea_aequata_L..jpg
Leea crispa L.,LEEACEAE,Banchalita (Beng.),"Root tubers used against
guineaworms.",Leea_crispa_L..jpg
Leea indica (Burm.f.) Merr.,LEEACEAE,Kukur-jihwa,"Young leaves  juice use in digestive. Ointment prepared from roasted leaves relieves vertigo. Root antidiarrhoeal,
antidysenteric, antispasmodic,
cooling, sudorific. A decoction
allays thirst.",Leea_indica_Burm.f._Merr..jpg
Leea macrophylla Roxb. ex Hornem.,LEEACEAE,Dholsamudra,"Mucilaginous root tubers anodyne, used on wounds and sores, and for guineaworm
and ringworm.",Leea_macrophylla_Roxb._ex_Hornem..jpg
Lens culinaris Medik.,FABACEAE,"Masur, Masser","Seeds oup is used in gastric
troubles and constipation. Paste or poultice is applied to foul and
indolent ulcers.",Lens_culinaris_Medik..jpg
Leonotis nepetaiefolia R.Br.,LAMIACEAE,Hejurchei,The flowers ashes are applied to scalds and burns. The leaves are employed for rheumatism. It is beneficial in skin infection.,Leonotis_nepetaiefolia_R.Br..jpg
Leonurus cardiaca L.,LAMIACEAE,Common Motherwort (Eng.),"The dried leaves and flowering tops is having diuretic, analgesic emmenagogue properties and is given in heart palpitation  and hysteria.  It is also employed as it tones up uterine membrane and generative organs, allays nervous irritability, and affords relief from pain in stomach and gallbladder. For  dermatitis leaves are used.",Leonurus_cardiaca_L..jpg
Leonurus sibiricus L.,LAMIACEAE,Halkusha,"The plant is employed as emmenagogue, tonic and  vulnerary, and is used in puerperal and menstrual disorders. The leaves and roots of the plant is used as  febrifuge. Leaf extract are considered effective against uterus contraction.",Leonurus_sibiricus_L..jpg
Lepidagathis cristata Willd.,ACANTHACEAE,Bhuiterada (Mar.),Used in fevers and skin infections.,Lepidagathis_cristata_Willd..jpg
Lepidagathis hamiltoniana Wall.,ACANTHACEAE,Agnikhair (Mundari),Useful in skin problems.,Lepidagathis_hamiltoniana_Wall..jpg
Lepidagathis incurva Buch.-Ham. ex D.Don,ACANTHACEAE,Vangvattur (Mizoram),Leaves are chewed to relieve cough.,Lepidagathis_incurva_Buch.-Ham._ex_D.Don.jpg
Lepidagathis trinervis Nees,ACANTHACEAE,Harancharo (Guj.),It has tonic properties.,Lepidagathis_trinervis_Nees.jpg
Lepidium iberis L.,BRASSICACEAE,Safed towdri,Seeds (Tondri) used in bronchitis and dropsy,Lepidium_iberis_L..jpg
Lepidium latifolium L.,BRASSICACEAE,Gonyuch (Ladhak),"Depurative and antiscorbutic, used as a resolvent in skin infections; infusion given in hepatic and renal troubles.",Lepidium_latifolium_L..jpg
Lepidium sativum L.,BRASSICACEAE,"Halim, Harf","Leaves mildly stimulant and diuretic, used in scorbutic diseases and hepatic complaints. Seeds galactagogue, emmenagogue, diuretic, tonic, aphrodisiac, laxative, and rubefacient used in poultices for hurts and sprains. Roots used in secondary syphilis and tenesmus.",Lepidium_sativum_L..jpg
Leptadenia reticulata (Retz.) Wight & Arn.,ASCLEPIADACEAE,Dodi,"It is stimulant and restorative. Leaves and roots used in treatment of skin infections. 
Plant is  useful in in the treatment of habitual abortion.",Leptadenia_reticulata_Retz._Wight_&_Arn..jpg
Leucaena glauca (L.) Benth.,MIMOSACEAE,Lasobaval (Guj.),"Seeds used as concentrates for dairy animals. Consumed in
excess, all parts are toxic to monogastric animals.",Leucaena_glauca_L._Benth..jpg
Leucas aspera (Willd.) Link,LAMIACEAE,Safed Halkusa,"The leaves juice is applied externally in chronic skin eruptions, psoriasis and painful swellings. Flowers are prescribed with honey for coughs and colds. The plant is used as an antipyretic.",Leucas_aspera_Willd._Link.jpg
Leucas cephalotus (Roth.) Spreng.,LAMIACEAE,"Dhurpi sag, Deldona","The plant is used as a stimulant, diaphoretic, laxative and anthelmintic. Syrup prepared from the flowers are used for cough and cold.",Leucas_cephalotus_Roth._Spreng..jpg
Leucas lavandulifolia Sm.,LAMIACEAE,"Guma, Halkusa","The  leaves decoction is having sedative, stomachic, and vermifuge properties. The fresh leaves are poultice and applied on old sores and dermatos.",Leucas_lavandulifolia_Sm..jpg
Leucas stelligera Wall.,LAMIACEAE,Barumbi (Mar.),"The plant is useful as a carminative, stimulant and emmenagogue.",Leucas_stelligera_Wall..jpg
Leucas zeylanica R.Br.,LAMIACEAE,Mudittumbei (Ceylon),Herb are used as an antipyretic and for skin troubles. For ulcers in the nose the decoction is employed.,Leucas_zeylanica_R.Br..jpg
Licuala spinosa Wurmb.,ARECACEAE,Jungli selai,Bark used for tuberculosis.,Licuala_spinosa_Wurmb..jpg
Lilium giganteum Wall.,LILIACEAE,Jaunsar-Giotra,Leaves used in applications for  bruises and wounds.,Lilium_giganteum_Wall..jpg
Lilium martagon L.,LILIACEAE,Turk's Cap Lily (Eng.),Bulbs are useful in cardiac disorders and angina pectoris. Flowers in ovarian neuralgia and myoptic astigmia.,Lilium_martagon_L..jpg
Lilium tigrinum Ker Gawl.,LILIACEAE,Tiger Lily (Eng.),Bulbs are useful in cardiac disorders and angina pectoris. Flowers in ovarian neuralgia and myoptic astigmia.,Lilium_tigrinum_Ker_Gawl..jpg
Lilium wallichianum Schult.f.,LILIACEAE,Findora,Dried bulb scales used in pectoral problems.,Lilium_wallichianum_Schult.f..jpg
Limnophila aromatica (Lam.) Merr.,SCROPHULARIACEAE,Kuttra,"It has antiseptic, galactagogue, febrifugic  and aperient properties.",Limnophila_aromatica_Lam._Merr..jpg
Limnophila indica (L.) Druce,SCROPHULARIACEAE,Kuttra,"It has antiseptic, galactagogue, febrifugic  and aperient properties.",Limnophila_indica_L._Druce.jpg
Limnophila rugosa (Roth) Merr.,SCROPHULARIACEAE,Kala karpur (Beng.),"Leaf infusion has a diuretic, stomachic, and digestive properties.",Limnophila_rugosa_Roth_Merr..jpg
Limonia acidissima L.,RUTACEAE,"Kavat, Kadbel (Beng.)","The plant produces a medicine used in Asthma, bronchitis. Roots are used in body pain, bark is used in etching, fruit is used in dysentery and to make tonic.",Limonia_acidissima_L..jpg
Lindera caudata Benth.,LAURACEAE,Dieng-soh-orthai-dieng-brau-salu(Khasi Hills),Decoction is used to relieve from pain.,Lindera_caudata_Benth..jpg
Lindera neesiana (Nees) Kurz,LAURACEAE,Siltimur (Nepal),It is carminative.,Lindera_neesiana_Nees_Kurz.jpg
Linderbergia indica (L.) Vatke,SCROPHULARIACEAE,Haldi basanto (Beng.),Juice used in bronchitis and for treating skin eruptions.,Linderbergia_indica_L._Vatke.jpg
Lindernia anagallis (Burm.f.) Pennell,SCROPHULARIACEAE,Gadagvel (Mar.),Used for gonorrhoea,Lindernia_anagallis_Burm.f._Pennell.jpg
Lindernia crustacea (L.) F.Muell.,SCROPHULARIACEAE,Malaysian false pimpernel (Eng.),"The plant is utilized for bilious diseases  and dysentery. It is also applied as poultices for boils, sores, itch, and ringworm.",Lindernia_crustacea_L._F.Muell..jpg
Lindernia oppositifolia (Retz.) Mukerjee,SCROPHULARIACEAE,Hendegel ba (Mundari),The root of the plant is used as febrifuge.,Lindernia_oppositifolia_Retz._Mukerjee.jpg
Lindernia procumbens (Krock.) Philcox,SCROPHULARIACEAE,Vakapushpi (Mar.),The plant is used in gonorrhoea.,Lindernia_procumbens_Krock._Philcox.jpg
Lindernia ruelloides (Colsm.) Mukherjee,SCROPHULARIACEAE,Sam-tham-lang (Garo),The plant is applied externally for worm infested skin.,Lindernia_ruelloides_Colsm._Mukherjee.jpg
Linum usitatissimum L.,LINACEAE,"Tisi, Alsi","Oil forms a base for poultices, embrocations, and liniments.",Linum_usitatissimum_L..jpg
Liriodendron tulipifera L.,MAGNOLIACEAE,Yellow popler (Eng.),"Bark is used as an antipyretic and diaphoretic also applied treatment of  malaria, rheumatism, and dyspepsia. Root-bark is used as stimulant.",Liriodendron_tulipifera_L..jpg
Litchi chinensis Sonn.,SAPINDACEAE,Lichi,Leaf used in bites of animals.,Litchi_chinensis_Sonn..jpg
Lithospermum arvensis L.,BORAGINACEAE,Corn Gromwell,Infusion of leaves are used as sedative. Seeds are diuretic and used in bladder diseases and gout.,Lithospermum_arvensis_L..jpg
Lithospermum officinale L.,BORAGINACEAE,Gromwell,"Decoction of roots are given in reuptive diseases such as smallpox,measles and itch. 
Seeds are diuretic and lithontripic and used as an electuary in bladder diseases and gout. Infusion of the leaves are used as sedative.",Lithospermum_officinale_L..jpg
Litsea cubeba (Lour.) Pers.,LAURACEAE,Mejankeri (Assam),"Fruit is carminative. It is used for dizziness,hysteria,paralysis and loss of memory.",Litsea_cubeba_Lour._Pers..jpg
Litsea lancifolia Hook.f.,LAURACEAE,Kali Pahenle (Nepal),Bark is used in poultices for sprains and wounds.,Litsea_lancifolia_Hook.f..jpg
Litsea monopetala (Roxb.) Pers.,LAURACEAE,"Meda, Katmarra","Bark is astringent and used in treating diarrhea. Oil yielded from seeds are used to
 treat rheumatism.",Litsea_monopetala_Roxb._Pers..jpg
Litsea stocksii Hook.f.,LAURACEAE,"Pisi, Posha (Mar.)",Infusion of mucilaginous leaves are used in irritations of bladder and urethra.,Litsea_stocksii_Hook.f..jpg
Lobelia inflata L.,LOBELIACEAE,Puke weed (Eng.),Used in treatment of asthma and chronic bronchitis.,Lobelia_inflata_L..jpg
Lobelia leschenaultiana (Presl.) Skottsh.,LOBELIACEAE,Kadu hogesoppu (Kan.),Used in curing dermatitis.,Lobelia_leschenaultiana_Presl._Skottsh..jpg
Lobelia nicotianifolia Roth ex Roem. & Schult.,LOBELIACEAE,"Nala, Narasala","It is a rich source of alkaloids of lobeline group, and used as an antiseptic.",Lobelia_nicotianifolia_Roth_ex_Roem._&_Schult..jpg
Lobelia pyramidalis Wall.,LOBELIACEAE,Berawchal (Lushai),Leaves and flowers are used as antispasmodic.,Lobelia_pyramidalis_Wall..jpg
Lolium temulentum L.,POACEAE,Mochni,Used in treating convulsions.,Lolium_temulentum_L..jpg
Lonicera japonica Thunb.,CAPRIFOLIACEAE,Leihruisen (Lushai),It has Antipyretic and stomachic properties and is used in dysentery.Dried flowers are diuretic,Lonicera_japonica_Thunb..jpg
Lonicera periclymenum L.,CAPRIFOLIACEAE,Woodbine Honeysuckle (Eng.),"Flowers have antispasmodic, diuretic, and sudorific properties.",Lonicera_periclymenum_L..jpg
Lonicera semenovii Regel.,CAPRIFOLIACEAE,"Shea, Sheva",Leaf and flower extract used in treatment of venereal diseases.,Lonicera_semenovii_Regel..jpg
Loxococcus rupicola Wendl. & Drude,ARECACEAE,Dothalu (Tam.),N/A,Loxococcus_rupicola_Wendl._&_Drude.jpg
Ludwigia adscendens (L.) Hara,ONAGRACEAE,Kesara-dam,It forms as a  constituent of poultices used for treatment of ulcers and skin complaints.,Ludwigia_adscendens_L._Hara.jpg
Ludwigia octovalvis (Jacq.) P.H.Raven,ONAGRACEAE,Banlunga,"It is astringent, anthelmintic, carminative, and diuretic. Decoction is  used in treatment of diarrhoea
 and dysentery, flatulence,leucorrhoea, and spitting of blood. Leaves are used for poulticing in orchitis and glands in the neck.",Ludwigia_octovalvis_Jacq._P.H.Raven.jpg
Ludwigia perennis L.,ONAGRACEAE,"Sukuri pota, Gara sirgiti (Mundari)",Plant is boiled in oil and applied to the body externally to bring down fever.,Ludwigia_perennis_L..jpg
Ludwigia prostrata Roxb.,ONAGRACEAE,Huring Rangaini (Mundari),Leaves are used for the treatment of tooth ache and aching muscles.,Ludwigia_prostrata_Roxb..jpg
Luffa acutangula (L.) Roxb.,CUCURBITACEAE,"Kali tori, Jhinga tori","It is laxative, diuretic and purgative. It is used in treatment of asthma, skin troubles, and splenic 
enlargements. Seeds are emetic, expectorant, demulcent. Fruit is  dried and powdered for using  as
 snuff in cases of jaundice.",Luffa_acutangula_L._Roxb..jpg
Luffa cylindrica(L.) M.Roem.,CUCURBITACEAE,Ghiya tori,"Tender fruits is  diuretic and lactagogue. Ripe fruit is used after burning and pulverized as  carminative
 and anthelmintic. Juice is  purgative. Mature seeds are bitter, emetic, and cathartic.",Luffa_cylindricaL._M.Roem..jpg
Luffa echinata Roxb.,CUCURBITACEAE,Bindal,"Fruits are purgative and used in treatment of dropsy,nephritis,chronic bronchitis and lung complaints. 
Fuit infusion is employed for biliary and intestinal colic.",Luffa_echinata_Roxb..jpg
